x,-120 V,-110 V,-100 V,-90 V,-80 V,-70 V,-60 V,-50 V,-40 V,-30 V,-20 V
-86.055,-0.45182,-0.34724,-0.26962,-0.20019,-0.14817,-0.10491,-0.07414,-0.04821,-0.0278,-0.01727,-0.01175
-85.495,-0.45005,-0.34614,-0.26889,-0.19979,-0.14801,-0.10482,-0.07407,-0.04815,-0.02777,-0.01729,-0.01178
-84.936,-0.44825,-0.34505,-0.26815,-0.19939,-0.14785,-0.10473,-0.07401,-0.04809,-0.02775,-0.0173,-0.01181
-84.377,-0.44643,-0.34395,-0.26741,-0.19899,-0.14767,-0.10464,-0.07393,-0.04803,-0.02772,-0.01732,-0.01184
-83.817,-0.44458,-0.34284,-0.26666,-0.19858,-0.14749,-0.10455,-0.07386,-0.04797,-0.02769,-0.01733,-0.01186
-83.258,-0.44271,-0.34174,-0.2659,-0.19817,-0.1473,-0.10446,-0.07379,-0.0479,-0.02767,-0.01735,-0.01189
-82.699,-0.44082,-0.34063,-0.26514,-0.19776,-0.1471,-0.10436,-0.07371,-0.04784,-0.02764,-0.01736,-0.01192
-82.139,-0.43891,-0.33951,-0.26438,-0.19735,-0.14689,-0.10426,-0.07363,-0.04778,-0.02762,-0.01737,-0.01195
-81.58,-0.43698,-0.33839,-0.26361,-0.19693,-0.14668,-0.10416,-0.07355,-0.04772,-0.02759,-0.01739,-0.01198
-81.021,-0.43503,-0.33727,-0.26283,-0.1965,-0.14645,-0.10406,-0.07346,-0.04766,-0.02757,-0.0174,-0.012
-80.461,-0.43307,-0.33615,-0.26205,-0.19608,-0.14622,-0.10395,-0.07338,-0.04759,-0.02754,-0.01741,-0.01203
-79.902,-0.43108,-0.33502,-0.26126,-0.19564,-0.14597,-0.10385,-0.07329,-0.04753,-0.02752,-0.01743,-0.01206
-79.343,-0.42908,-0.33388,-0.26047,-0.19521,-0.14572,-0.10374,-0.07319,-0.04747,-0.02749,-0.01744,-0.01208
-78.783,-0.42707,-0.33274,-0.25967,-0.19477,-0.14546,-0.10363,-0.0731,-0.04741,-0.02747,-0.01745,-0.01211
-78.224,-0.42505,-0.33159,-0.25887,-0.19433,-0.1452,-0.10351,-0.073,-0.04735,-0.02744,-0.01746,-0.01214
-77.665,-0.42301,-0.33044,-0.25806,-0.19388,-0.14492,-0.1034,-0.0729,-0.04729,-0.02742,-0.01747,-0.01216
-77.105,-0.42095,-0.32928,-0.25725,-0.19343,-0.14463,-0.10328,-0.0728,-0.04723,-0.0274,-0.01748,-0.01219
-76.546,-0.41889,-0.32811,-0.25643,-0.19297,-0.14434,-0.10316,-0.07269,-0.04716,-0.02738,-0.01749,-0.01221
-75.987,-0.41681,-0.32694,-0.25561,-0.19251,-0.14404,-0.10303,-0.07259,-0.0471,-0.02735,-0.0175,-0.01224
-75.427,-0.41472,-0.32576,-0.25478,-0.19204,-0.14373,-0.1029,-0.07248,-0.04704,-0.02733,-0.01751,-0.01226
-74.868,-0.41262,-0.32457,-0.25395,-0.19157,-0.14341,-0.10277,-0.07236,-0.04698,-0.02731,-0.01752,-0.01228
-74.309,-0.41051,-0.32337,-0.25311,-0.19109,-0.14308,-0.10264,-0.07224,-0.04692,-0.02729,-0.01753,-0.0123
-73.749,-0.4084,-0.32216,-0.25226,-0.1906,-0.14275,-0.1025,-0.07212,-0.04686,-0.02727,-0.01754,-0.01233
-73.19,-0.40627,-0.32094,-0.25141,-0.19011,-0.1424,-0.10236,-0.072,-0.0468,-0.02725,-0.01755,-0.01235
-72.631,-0.40413,-0.3197,-0.25055,-0.18962,-0.14205,-0.10222,-0.07187,-0.04674,-0.02723,-0.01755,-0.01237
-72.071,-0.40198,-0.31846,-0.24969,-0.18912,-0.14169,-0.10207,-0.07174,-0.04668,-0.02722,-0.01756,-0.01239
-71.512,-0.39983,-0.3172,-0.24882,-0.18861,-0.14133,-0.10192,-0.07161,-0.04662,-0.0272,-0.01757,-0.0124
-70.953,-0.39767,-0.31593,-0.24795,-0.18809,-0.14095,-0.10177,-0.07148,-0.04656,-0.02718,-0.01757,-0.01242
-70.393,-0.39549,-0.31465,-0.24706,-0.18757,-0.14057,-0.10161,-0.07134,-0.0465,-0.02717,-0.01758,-0.01244
-69.834,-0.39332,-0.31335,-0.24618,-0.18704,-0.14019,-0.10145,-0.07119,-0.04644,-0.02715,-0.01758,-0.01245
-69.275,-0.39113,-0.31203,-0.24528,-0.18651,-0.13979,-0.10128,-0.07105,-0.04637,-0.02714,-0.01758,-0.01247
-68.715,-0.38894,-0.31069,-0.24438,-0.18596,-0.13939,-0.10111,-0.0709,-0.04631,-0.02713,-0.01759,-0.01248
-68.156,-0.38674,-0.30934,-0.24347,-0.18541,-0.13899,-0.10094,-0.07075,-0.04625,-0.02712,-0.01759,-0.01249
-67.596,-0.38453,-0.30797,-0.24255,-0.18486,-0.13857,-0.10076,-0.0706,-0.04619,-0.02711,-0.01759,-0.0125
-67.037,-0.38232,-0.30658,-0.24163,-0.18429,-0.13815,-0.10058,-0.07044,-0.04613,-0.0271,-0.01759,-0.01251
-66.478,-0.3801,-0.30516,-0.2407,-0.18372,-0.13773,-0.10039,-0.07028,-0.04607,-0.02709,-0.01759,-0.01252
